"profile","resume_section","required_knowledge","required_skills","proof_to_add","special_notes","current_status"
"Software Engineer Core","Summary; Skills; Projects","DSA; CS fundamentals; clean coding; debugging; testing basics; REST APIs; databases","TypeScript; Python; Git; SQL/PostgreSQL; API development","2-3 strong projects; GitHub links; measurable bullets where true","Base profile for MNC and startup applications","Partially ready"
"Backend / Platform Engineer","Skills; Projects; Experience","REST APIs; database design; reliability; scalability; system design basics","Python; TypeScript; FastAPI; PostgreSQL; Prisma/ORM; Docker; testing","API architecture; database schema; endpoint examples; reliability notes","Strong for backend, SaaS, fintech, cloud, and platform teams","Needs more proof"
"AI Automation / AI Product Engineer","Summary; Skills; Projects","LLM APIs; agents; tool use; workflow automation; evaluation basics; safety-aware implementation","OpenAI API or similar; TypeScript; Python; workflow orchestration; GitHub automation","Agent-s demo; AI case study; screenshots; automation outcome","Important for AI startups and developer platform teams","Needs demo/case study"
"Developer Tools / Developer Experience Engineer","Projects; Skills; Proof","Developer workflows; GitHub workflows; CLI/web tooling; documentation; developer ergonomics","TypeScript; Node.js; Octokit/GitHub API; MCP-style workflows; automation scripts","Tool demo; docs; before/after workflow; real usage example","Strong fit for devtools, AI coding tools, and OSS-facing roles","Needs demo/docs"
"Cloud / Infrastructure Engineer","Skills; Projects","Cloud basics; deployment; containers; logs; monitoring; reliability; distributed systems basics","Docker; backend deployment; PostgreSQL hosting; cloud concepts for AWS/Azure/GCP","Deployed project; deployment architecture; logs/monitoring notes","Use cloud keywords only with honest proof","Needs cloud proof"
"Frontend / Full-stack Product Engineer","Skills; Projects","React/Next.js; UI state; API integration; auth flows; frontend performance; product quality","React; Next.js; TypeScript; responsive UI; forms; validation; accessibility basics","Live portfolio; screenshots; frontend/backend ownership notes","Startups value visible shipped product proof","Partially ready"
"Systems / Performance Engineer","Skills; Projects","C/C++; OS/concurrency; networking; performance; distributed systems; hash/crypto concepts","C++; CMake; WebAssembly; Solidity; Hardhat; IPFS; Merkle roots","Systems project proof; benchmark notes; architecture explanation","Useful for systems, blockchain, embedded, infra, and performance roles","Needs evidence details"
"Data / Search / Database Engineer","Skills; Projects","SQL; schema design; indexing basics; data integrity; search/retrieval; vector database awareness","PostgreSQL; data processing; backend APIs; PDF/Excel workflows; retrieval/search basics","SQL evidence; schema examples; data pipeline notes; search/vector demo","Useful for backend, fintech, AI retrieval, and data roles","Needs SQL/search proof"
"MNC Resume Variant","Whole Resume","CS fundamentals; DSA; education clarity; backend/database basics; behavioral examples","ATS-safe formatting; exact honest keywords; one-page resume discipline","DSA profile; clean PDF; project evidence; education dates","Prioritize clarity, fundamentals, and interview readiness","Needs DSA proof"
"Startup Resume Variant","Whole Resume","Ownership; product sense; full-stack flexibility; fast learning; project tradeoffs","GitHub quality; demos; screenshots; concise writing; founder-style pitch","Live demos; case studies; screenshots; README cleanup","Lead with shipped projects and proof","Needs demos/case studies"
"AI Company Resume Variant","Whole Resume","AI systems; agents; model APIs; developer tools; safety-aware implementation","LLM APIs; TypeScript; Python; automation; docs/writing","AI project demo; Agent-s case study; clear writing sample","Make AI tooling evidence visible in first 5 seconds","Needs AI proof"
"Evidence Pack","Projects; Links","Architecture explanation; ownership; measurable outcomes; implementation tradeoffs","README writing; screenshots; diagrams; demo recording","Project case studies for Agent-s, De_carSharing, fin_Tech, merkleNode, Simple-Blockchain-Prototype","Evidence is the main missing layer before applying widely","Incomplete"
